id_fecha;Pauta;Fecha;Flag_timing;dia_laboral;nro_registros;nro_registros_condni;nro_aprobados;nro_pre_aprobado;nro_sin_campaña;gestionado;contactado;derivacion_Ope;desembolso_m_tlmk;desembolso_m_tlmk_neto;desembolso_n_tlmk;desembolso_n_total;desembolso_m_neto_total;desembolso_n_eds;desembolso_m_neto_eds
250430;6.Ahorros;2025-04-02;0;;3;3;0;0;3;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;1.Aprobado;2025-01-31;0;26.0;6;5;2;0;3;1;1;0;0;0.0;0;0;0.0;0;0.0
250131;5.Otro_add;2025-01-21;0;17.0;211;179;0;14;165;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;5.Otro_add;2025-01-24;0;20.0;169;141;0;6;135;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;5.Otro_add;2025-01-30;0;25.0;193;165;0;10;155;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;3.Camp_act;2025-02-13;0;11.0;33;24;0;1;23;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-15;0;13.0;67;66;8;11;47;7;4;1;0;0.0;0;0;0.0;0;0.0
250228;6.Ahorros;2025-02-23;0;0.0;7;5;0;0;5;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;9.Otros;2025-02-04;0;3.0;165;91;28;13;50;27;26;11;13100;13100.0;8;10;17600.0;2;4500.0
250331;1.Aprobado;2025-03-15;0;13.0;15;3;0;1;2;1;1;1;800;800.0;1;1;800.0;0;0.0
250331;4.Camp_QR;2025-03-08;0;7.0;4;4;0;1;3;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-24;0;20.0;1;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;8.FB;2025-03-22;0;19.0;1;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;8.FB;2025-03-26;0;22.0;1;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;9.Otros;2025-03-30;0;0.0;21;2;0;1;1;2;1;1;900;900.0;1;1;900.0;0;0.0
250430;9.Otros;2025-04-01;1;1.0;881;599;64;37;499;38;26;11;0;0.0;0;0;0.0;0;0.0
250430;9.Otros;2025-04-02;0;;184;88;24;5;59;8;5;0;0;0.0;0;0;0.0;0;0.0
250131;1.Aprobado;2025-01-17;0;14.0;40;37;3;0;34;3;3;0;0;0.0;0;0;0.0;0;0.0
250131;1.Aprobado;2025-01-24;0;20.0;19;14;1;1;12;2;1;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-02;0;1.0;30;3;0;0;3;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-24;0;20.0;56;12;0;1;11;0;0;0;0;0.0;0;0;0.0;0;0.0
